"Location","mean_delta_O18","sd_delta_O18","Latitude","Longitude","Elevation","slope"
"R01",-42.603315346886,0.69820566583807,0.010789967,-75.00200885,2890.92236328125,0.00839678542056827
"R02",-42.1643083564749,1.06638869412513,0.091445925,-74.93268014,2891.02612304688,0.00695029810858381
"R03",-42.6096192229125,0.467955549847179,0.171354738,-74.86333284,2885.77294921875,0.00922576215925847
"R04",-41.8390947537762,0.555433419226098,0.250526433,-74.79396741,2875.71069335938,-0.00927807800750918
"R05",-41.4379067560085,0.946726775228604,0.277819946,-74.76882806,2872.80541992188,0.0124941259398185
"R06",-42.0391189687159,0.890746789367138,0.315158059,-74.73595837,2863.48950195312,-0.0192577390743097
"R07",-41.9679900759344,1.19596051913061,0.418183595,-74.73105256,2861.69775390625,0.00655012776089786
"R08",-41.9424916508513,0.722433792663542,0.494435869,-74.72730226,2864.60986328125,0.107678130874082
"R09",-42.136786075279,0.739669458611115,0.562049995,-74.72416303,2866.7001953125,0.126599947133441
"R10",-41.5015082869238,1.01444970980593,0.629635925,-74.72100281,2870.73657226562,0.0419055451128765
"R11",-41.3922086635285,1.26864407176175,0.697193488,-74.71782159,2873.24926757812,0.0402396983670507
"R12",-41.5631097947629,1.09823964223708,0.764722513,-74.71461941,2869.0654296875,0.00145364632277087
"R13",-41.9323567014393,0.546199094486959,0.832222832,-74.71139626,2869.2021484375,-0.0985147806038012
"R14",-41.2901764477251,1.09198503252367,0.890285147,-74.70188405,2863.84057617188,0.0267499192315802
"R15",-41.8116918208229,0.85617788980903,0.94782641,-74.69205865,2862.49340820312,0.0130286654135851
"R16",-41.1738604230388,0.812563537070743,1.005292948,-74.68221823,2862.53173828125,0.149017747004219
"R17",-41.8086562181055,0.617737129782259,1.06268479,-74.6723628,2865.96313476562,0.0974506578948231
"R18",-41.0312049812485,0.916270276848199,1.120001968,-74.66249242,2862.53173828125,-0.00263763657195242
"R19",-41.7179089386581,0.842473915888414,1.161629295,-74.65527902,2860.53564453125,-0.0750726914943694
"R20",-39.9941534381124,0.988175454009247,1.254190117,-74.63903585,2856.98217773438,0.23340027314378
"R21",-42.0502208897794,1.00900836483687,1.5042,-74.6356,2868.18383789062,-0.0960911800986124
"R22",-41.4153313923517,0.49761276194788,1.3549,-74.6695,2877.4833984375,0.0134187397203309
"R23",-42.0165955248271,0.767977578392992,1.202563184,-74.70131172,2880.98266601562,-0.021003987018339
"R24",-41.8419553089447,0.679354873784441,1.121024468,-74.72754386,2883.26953125,0.070054775611029
"R25",-41.200435170886,0.789828070511972,1.000285298,-74.74992872,2885.27783203125,0.0760639391447144
"R26",-41.7627158919128,0.867489951216473,0.894382826,-74.76854837,2882.50756835938,0.0736722788416441
"R27",-41.7233551351635,0.780897593327906,0.78059942,-74.7889633,2884.38842773438,0.0181532322016025
"R28",-42.1555419971074,1.03586985932601,0.609345071,-74.81947586,2888.33764648438,-0.0373614088932929
"B40_500",-42.2832259157119,1.5353339596005,0.083045970222354,-74.9984310416549,2891.74243164062,0.0124550267269419
"B40_1000",-42.1844736685761,0.536931684779255,0.098145970222354,-74.9961310416549,2891.90966796875,0.0263587435386483
"B40_1500",-42.472300487341,0.859301408486797,0.113245970222354,-74.9938310416549,2892.37548828125,0.018086965460517
"B49_500",-43.3925826387807,0.620128807087562,0.232301011255383,-75.0809300074399,2893.42944335938,0.0128575834115842
"B49_1000",-42.6700986304418,0.955113339293621,0.247401011255383,-75.0786300074399,2895.24536132812,0.0230237458881181
"B49_1500",-43.5100507284052,0.590443038661128,0.262501011255383,-75.0763300074399,2895.24536132812,0.0308907645089966
"B52_500",-42.5577878442821,0.954394531814462,0.446672024896741,-74.934508973521,2900.26538085938,-0.00430917381345804
"B52_1000",-42.7499542531586,1.00694407649016,0.462272024896741,-74.936308973521,2901.26513671875,-0.00701638128528132
"B52_1500",-42.2051543405793,1.04882836526366,0.477944049793482,-74.938117947042,2901.26513671875,-0.0122031763979279
